CONCEPT	DOCULECT	IPA	ID
neck	Old_Malayalam	kaɻut̪ːə	312
neck	Old_Tamil	kaɻut̪ːu	313
back	Old_Kannada	benːu	314
back	Old_Telugu	ʋenːu	315
back	Old_Malayalam	puram	316
back	Old_Tamil	puram	317
heart	Old_Kannada	ɡuɳɖiɡe	318
heart	Old_Telugu	ɡʊɳɖe	319
heart	Old_Malayalam	n̪eɲt͡ʃakam	320
heart	Old_Tamil	n̪eɲt͡ʃam	321
liver	Old_Kannada	iːli	322
liver	Old_Malayalam	kaɾaɭ	323
liver	Old_Tamil	iːɾal	324
to drink	Old_Kannada	kuɖi	325
to drink	Old_Telugu	t̪ɾaːɡu	326
to drink	Old_Malayalam	kuʈi	327
to drink	Old_Tamil	kuʈi	328
to eat	Old_Kannada	t̪ɪnu	329
to eat	Old_Telugu	t̪ɪnu	330
to eat	Old_Malayalam	t̪in̪ːu	331
to eat	Old_Tamil	uɳ	332
to bite	Old_Kannada	kaɖi	333
to bite	Old_Telugu	korʊku	334
to bite	Old_Malayalam	kaʈi	335
to bite	Old_Tamil	kaʈi	336
to spit	Old_Kannada	uɡuɭu	337
to spit	Old_Telugu	umːu	338
to spit	Old_Malayalam	t̪upːu	339
to spit	Old_Tamil	t̪upːu	340
to vomit	Old_Kannada	kaːru	341
to vomit	Old_Telugu	kakːu	342
to vomit	Old_Malayalam	t͡ʃʰar	343
to vomit	Old_Tamil	kakːu	344
to see	Old_Kannada	noːɖu	345
to see	Old_Telugu	t͡ʃuːɖu	346
to see	Old_Malayalam	kaːɳu	347
to see	Old_Tamil	kaːɳ	348
to hear	Old_Kannada	keːɭ	349
to hear	Old_Telugu	ʋɪnu	350
to hear	Old_Malayalam	keːɭ	351
to hear	Old_Tamil	keːɭ	352
to know	Old_Kannada	ari	353
to know	Old_Telugu	erʊɡu	354
to know	Old_Malayalam	ari	355
to know	Old_Tamil	ari	356
to think	Old_Kannada	nene	357
to think	Old_Malayalam	n̪ina	358
to think	Old_Tamil	n̪inaj	359
to smell	Old_Kannada	muːsu	360
to smell	Old_Telugu	muːt͡ʃu	361
to smell	Old_Malayalam	maɳa	362
to smell	Old_Tamil	mukaɾ	363
to fear	Old_Kannada	bed̪aɾu	364
to fear	Old_Telugu	bed̪ʊɾu	365
to fear	Old_Malayalam	peːʈi	366
to fear	Old_Tamil	aɲt͡ʃu	367
