CONCEPT	DOCULECT	IPA	ID
to sleep	Sanskrit	sʋɐpi	283
to sleep	Pali	supɐ	284
to sleep	Middle_Persian	xuf	285
to live	Sanskrit	d͡ʑiːʋ	286
to live	Pali	dʒiːʋɐ	287
to live	Middle_Persian	zi:s	288
to die	Sanskrit	mɾij	289
to die	Pali	mɐrɐ	290
to die	Middle_Persian	muɾ	291
to kill	Sanskrit	ɦɐn	292
to kill	Pali	maːre	293
to kill	Middle_Persian	kuʃ	294
to hunt	Sanskrit	mr̩ɡɐjɐ	295
to hunt	Pali	migɐʋɐ	296
to hunt	Middle_Persian	ʃikɑːɾ	297
to stab	Sanskrit	ʋid̪ʱ	298
to stab	Pali	tʃʰuːrijaːɦɐnɐ	299
to stab	Middle_Persian	fuɾ:	300
to scratch	Sanskrit	likʰ	301
to scratch	Pali	likʰɐ	302
to scratch	Middle_Persian	ɾandi:	303
to dig	Sanskrit	kʰɐn	304
to dig	Pali	kʰɐɳɐ	305
to dig	Middle_Persian	kan	306
to swim	Sanskrit	plɐʋ	307
to swim	Pali	pilɐʋɐ	308
to swim	Middle_Persian	snɑ:zi:	309
to walk	Sanskrit	e	310
to walk	Pali	tʃɐrɐ	311
to walk	Middle_Persian	ɾaf	312
to come	Sanskrit	aːɡɐm	313
to come	Pali	aːjaː	314
to come	Middle_Persian	ɑ:ma	315
to lie (as in a bed)	Sanskrit	ʃe	316
to lie (as in a bed)	Pali	se	317
to lie (as in a bed)	Middle_Persian	nibas	318
to sit	Sanskrit	siːd̪	319
to sit	Pali	nisiːd̪ɐ	320
to sit	Middle_Persian	niʃas	321
to stand	Sanskrit	t̪iʂʈʰɐ	322
to stand	Pali	t̪iʈʈʰɐ	323
to stand	Middle_Persian	e:sta	324
to turn (intransitive)	Sanskrit	ʋɐɾt̪ɐ	325
to turn (intransitive)	Pali	ʋɐʈʈɐ	326
to turn (intransitive)	Middle_Persian	waʃ	327
to give	Sanskrit	d̪ɐd̪aː	328
to give	Pali	d̪ɐd̪aː	329
to give	Middle_Persian	dɑ:	330
to hold	Sanskrit	d̪ʱɐɾ	331
to hold	Pali	d̪ʱɐrɐ	332
to hold	Middle_Persian	dɑ:ʃ	333
to rub	Sanskrit	ɡʱɐɾʂɐ	334
to rub	Pali	ɡʱãsɐ	335
to rub	Middle_Persian	muʃ	336
to wash	Sanskrit	kʂaːljɐ	337
to wash	Pali	d̪ʱopɐ	338
to wash	Middle_Persian	ʃus	339
to wipe	Sanskrit	maːɾʂ	340
to wipe	Pali	mɐdʒːɐ	341
to wipe	Middle_Persian	awestaɾ	342
to pull	Sanskrit	kɐɾʂɐ	343
to pull	Pali	kʰɐɖːɐ	344
to pull	Middle_Persian	keʃi:	345
to push	Sanskrit	nud̪	346
to push	Pali	nud̪ɐ	347
to push	Middle_Persian	ɾɑ:ne:ni:	348
to throw	Sanskrit	kʂip	349
to throw	Pali	kʰipɐ	350
to throw	Middle_Persian	abgan	351
to tie	Sanskrit	bɐnd̪ʱ	352
to tie	Pali	bɐnd̪ʱɐ	353
